,learning rate,hidden layers,input layer nodes,hidden layer nodes,activation function,batch size,adam learning rate decay,accuracy
26,0.0014480753787065842,1,447,13,relu,74,0.0015325746259423636,98.19999933242798
69,0.0010883712866635825,1,512,28,relu,123,0.0010372748376070054,98.14444184303284
79,0.0012671704046512845,1,512,12,relu,128,1e-06,98.1333315372467
37,0.001199936484234106,1,512,11,relu,128,0.0012416687571823702,98.1333315372467
44,0.0022685856950467416,2,193,27,relu,128,0.0002146802465534903,98.06666374206543
91,0.006999154289975692,3,504,23,relu,128,0.01,98.0222225189209
0,0.001,1,512,13,relu,64,0.001,98.01111221313477
64,0.009335860629200084,3,332,23,relu,120,0.01,98.01111221313477
81,0.0012705631518329583,1,512,12,relu,128,1e-06,97.97777533531189
80,0.0012691479702489263,1,512,12,relu,128,1e-06,97.96666502952576
82,0.0012639217165950859,1,512,12,relu,128,1e-06,97.92222380638123
78,0.009978719524630279,2,336,24,sigmoid,128,0.0055735381487259355,97.87777662277222
77,0.0012632829136639764,1,512,12,relu,128,1e-06,97.87777662277222
74,0.0031761320747458266,3,397,14,relu,128,0.0012985734703660906,97.85555601119995
48,0.00028076933009625675,4,512,28,relu,60,1e-06,97.83333539962769
33,0.0013508468860803082,1,512,6,relu,128,1e-06,97.79999852180481
50,0.002952804354388614,4,512,23,relu,23,1e-06,97.79999852180481
31,0.002455554530138883,1,365,20,sigmoid,67,0.001516322059931299,97.77777791023254
60,0.005320174006624219,3,512,28,sigmoid,67,0.0012780255744378598,97.76666760444641
68,0.0011561276703001442,1,512,8,relu,110,1e-06,97.75555729866028
53,0.0034965027976328667,2,201,28,relu,125,1e-06,97.73333072662354
71,0.003455745627599155,1,512,22,sigmoid,128,0.0026318881339077783,97.73333072662354
98,0.001704959632649861,4,512,25,sigmoid,1,1e-06,97.73333072662354
72,0.001158823475448572,1,447,9,relu,89,1e-06,97.7222204208374
99,0.0016538643862312032,4,512,25,sigmoid,1,1e-06,97.71111011505127
62,0.005330757467100901,3,483,24,sigmoid,68,0.0016373307986758217,97.67777919769287
5,0.005231997569838716,3,330,16,relu,96,0.005677180062481488,97.67777919769287
76,0.00960829693297914,3,183,22,relu,128,0.01,97.66666889190674
97,0.0018062562146084536,4,512,25,sigmoid,1,1e-06,97.64444231987
41,0.001086974484028894,3,445,28,relu,128,0.006838056524871329,97.6111114025116
20,0.012006057024813572,3,280,24,relu,128,0.01,97.52222299575806
95,0.0027937938343292625,4,493,19,sigmoid,40,1e-06,97.51111268997192
86,0.0073896128500585,2,321,8,sigmoid,128,0.005008779653178028,97.47777581214905
27,0.006016230118339399,1,403,14,sigmoid,99,0.007584468062766268,97.38888740539551
61,0.00455312281662528,2,117,15,relu,25,1e-06,97.36666679382324
38,0.002043783497727199,4,284,25,sigmoid,28,1e-06,97.35555648803711
1,0.005828398528744997,2,254,16,sigmoid,9,0.002642553175628276,97.35555648803711
73,0.0004449723020835551,2,437,28,relu,88,0.0018249539091457062,97.35555648803711
23,0.006024010372117544,3,512,26,sigmoid,52,1e-06,97.34444618225098
66,0.008368210313752102,3,101,22,relu,128,0.01,97.28888869285583
45,0.00015767826328151805,4,378,28,relu,72,1e-06,97.2777783870697
40,0.007473309039520851,3,512,28,sigmoid,69,1e-06,97.26666808128357
65,0.006462951032589999,1,357,18,sigmoid,112,0.00849312683824376,97.24444150924683
39,0.003645905960739816,1,63,28,sigmoid,106,0.0018558736448075022,97.2333312034607
89,0.00600044371035796,2,426,24,sigmoid,128,0.01,97.2333312034607
25,0.010752260742076974,1,86,15,sigmoid,126,0.004368467136004812,97.22222089767456
