,learning rate,hidden layers,input layer nodes,hidden layer nodes,activation function,batch size,accuracy
0,0.03275177220475209,3,188,21,relu,89,0.7277777791023254
1,0.029863672437724486,3,44,18,sigmoid,29,0.9395555257797241
2,0.06437322298735856,1,478,5,sigmoid,106,0.0958888903260231
3,0.007233298202346897,3,164,8,relu,9,0.9636666774749756
4,0.19706765150537875,3,506,20,sigmoid,82,0.0958888903260231
5,0.006996863427233354,1,356,20,sigmoid,102,0.9758889079093933
6,0.06803935820807058,4,4,8,sigmoid,35,0.4238888919353485
7,0.10213232309588141,4,360,4,relu,117,0.0989999994635582
8,0.026633585716561717,3,464,23,sigmoid,17,0.10633333027362823
9,0.013854191076355483,2,274,19,relu,53,0.9660000205039978
10,0.06581535611293016,1,438,21,sigmoid,55,0.0958888903260231
11,0.14292118324159045,2,256,19,sigmoid,12,0.109333336353302
12,0.12793421050863038,3,390,17,relu,1,0.10022222250699997
13,0.019315720035733164,1,464,19,sigmoid,61,0.9446666836738586
14,0.09915940250473528,2,84,24,relu,108,0.10277777910232544
15,0.008384610951889282,3,194,26,relu,44,0.9786666631698608
16,0.005668844818808548,1,496,3,relu,88,0.961222231388092
17,0.1656697242034905,3,272,14,sigmoid,74,0.109333336353302
18,0.024284996692974452,4,242,3,sigmoid,16,0.2917777895927429
19,0.019675655972062688,1,398,25,relu,9,0.9003333449363708
20,0.026732113949479427,1,158,11,sigmoid,70,0.9589999914169312
21,0.05719894474413977,4,46,10,relu,56,0.43522220849990845
22,0.010502831523228399,1,338,3,relu,21,0.9536666870117188
23,0.00823122735959573,1,504,5,relu,40,0.9741111397743225
24,0.06679468254700728,3,10,6,relu,31,0.28333333134651184
25,0.04466245089743304,3,358,19,relu,20,0.09966666996479034
26,0.03227157415514816,4,222,12,relu,29,0.10022222250699997
27,0.12652481251621955,1,268,20,sigmoid,106,0.109333336353302
28,0.05826481004429197,3,464,13,sigmoid,6,0.109333336353302
29,0.008635991879143561,4,146,5,relu,41,0.9559999704360962
30,0.12421023520674607,4,366,26,sigmoid,66,0.0958888903260231
31,0.039247710174376206,1,52,18,relu,4,0.0958888903260231
32,0.0074777224721053435,3,322,16,sigmoid,33,0.9683333039283752
33,0.015194022475304051,2,506,26,sigmoid,107,0.9666666388511658
34,0.011646863384981408,2,128,10,relu,7,0.9399999976158142
35,0.16445073616660283,4,96,8,relu,90,0.0958888903260231
