,learning_rate,num_conv_layers,num_dense_layers,num_dense_nodes,activation,batch_size,accuracy
0,0.03275177220475209,2,3,21,relu,89,0.66839998960495
1,0.029863672437724486,2,1,18,sigmoid,29,0.7044000029563904
2,0.06437322298735856,1,2,12,relu,126,0.5860000252723694
3,0.01854686888813489,2,2,7,relu,125,0.6446666717529297
4,0.13128416279545488,2,4,21,relu,118,0.6701333522796631
5,0.1662826024448,1,3,26,sigmoid,1,0.10146666318178177
6,0.01177660130394154,2,3,26,sigmoid,90,0.3352000117301941
7,0.007450161360297351,1,4,9,sigmoid,17,0.23986667394638062
8,0.013854191076355483,1,1,14,relu,110,0.6557333469390869
9,0.053126932824615544,2,4,17,relu,64,0.6258666515350342
10,0.043202569631853795,2,1,12,relu,1,0.09719999879598618
11,0.019315720035733164,1,4,16,relu,21,0.6240000128746033
12,0.07771271823726773,1,2,9,sigmoid,104,0.5916000008583069
13,0.012632507993991704,2,1,21,relu,124,0.6705333590507507
14,0.12605847206065268,1,2,22,sigmoid,68,0.6254666447639465
15,0.02455551458511038,2,4,25,sigmoid,61,0.2709333300590515
16,0.006996863427233354,2,1,12,relu,100,0.6808000206947327
17,0.09486148901187084,1,1,15,relu,40,0.5680000185966492
18,0.016540819731265817,2,4,3,sigmoid,21,0.17466667294502258
19,0.02538528318487046,1,1,22,relu,2,0.4787999987602234
20,0.009127822372082045,1,1,5,relu,40,0.6153333187103271
21,0.06679468254700728,2,1,6,relu,31,0.6195999979972839
22,0.04466245089743304,2,1,5,sigmoid,52,0.6474666595458984
23,0.0255734511264479,2,2,8,relu,67,0.5720000267028809
24,0.04916293552548048,2,3,13,sigmoid,6,0.10000000149011612
25,0.008635991879143561,2,3,5,relu,41,0.5682666897773743
26,0.12421023520674607,2,3,17,relu,13,0.09839999675750732
27,0.04148291614861856,1,1,4,sigmoid,81,0.536133348941803
28,0.03121671340359544,2,3,10,relu,127,0.6486666798591614
29,0.09627301922688382,2,2,19,relu,32,0.6945333480834961
30,0.015420108129607812,1,1,18,sigmoid,24,0.6547999978065491
31,0.01244729341499433,1,3,24,sigmoid,98,0.27213332056999207
32,0.005018496989847007,2,1,26,relu,86,0.6578666567802429
33,0.025953981722616613,1,4,13,relu,68,0.5989333391189575
34,0.015882421897321582,2,1,6,relu,120,0.5769333243370056
35,0.09176075208743704,2,2,1,relu,25,0.10146666318178177
36,0.09627301922688382,2,3,23,sigmoid,82,0.6350666880607605
37,0.056152577814225196,1,2,2,sigmoid,4,0.10159999877214432
38,0.010425552309770318,1,2,5,relu,91,0.3078666627407074
39,0.1103672311333934,2,1,9,sigmoid,124,0.6872000098228455
40,0.01110098085889354,1,3,27,sigmoid,80,0.32280001044273376
41,0.006194161098119677,1,1,25,sigmoid,52,0.5650666952133179
42,0.05293111954843996,1,1,13,sigmoid,77,0.6438666582107544
43,0.016298302492071925,2,1,17,sigmoid,60,0.6166666746139526
44,0.012679240668413106,2,1,26,relu,121,0.6566666960716248
45,0.012493340906978297,1,1,16,sigmoid,104,0.5676000118255615
46,0.18576193341419503,2,4,24,sigmoid,68,0.5721333622932434
47,0.008894909515131234,1,1,17,relu,51,0.6422666907310486
48,0.021340757003694276,2,3,22,sigmoid,44,0.6174666881561279
49,0.016178380545832607,2,3,16,relu,111,0.6890666484832764
