,loss,params,iteration,estimators,time
0,0.23549174967629138,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 72, 'learning_rate': 0.10636616732547971, 'subsample_for_bin': 280000, 'min_child_samples': 280, 'reg_alpha': 0.5918367346938775, 'reg_lambda': 0.9795918367346939, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.8232323232323233}",284,85,2.336585097000011
1,0.23664093546785003,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 57, 'learning_rate': 0.06557277631737372, 'subsample_for_bin': 200000, 'min_child_samples': 370, 'reg_alpha': 0.7959183673469387, 'reg_lambda': 0.32653061224489793, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.5606060606060606}",107,100,2.2213471560000357
2,0.2368705781262318,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 109, 'learning_rate': 0.07191428439547362, 'subsample_for_bin': 160000, 'min_child_samples': 295, 'reg_alpha': 0.9795918367346939, 'reg_lambda': 0.7142857142857142, 'colsample_bytree': 0.6, 'subsample': 0.8333333333333334}",58,100,2.1676753680000047
3,0.23704612258306235,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 143, 'learning_rate': 0.05532928317911197, 'subsample_for_bin': 140000, 'min_child_samples': 280, 'reg_alpha': 0.6122448979591836, 'reg_lambda': 0.6938775510204082, 'colsample_bytree': 0.6, 'subsample': 0.7727272727272727}",36,85,2.203272453000011
4,0.23718050541050695,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 66, 'learning_rate': 0.0502643173513611, 'subsample_for_bin': 140000, 'min_child_samples': 395, 'reg_alpha': 0.8571428571428571, 'reg_lambda': 0.9387755102040816, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.5555555555555556}",260,100,2.2468516180000506
5,0.2375443566649894,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 67, 'learning_rate': 0.08460116899778225, 'subsample_for_bin': 120000, 'min_child_samples': 225, 'reg_alpha': 0.22448979591836732, 'reg_lambda': 0.673469387755102, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.6212121212121212}",261,23,1.5835324570000466
6,0.23763282806150132,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 112, 'learning_rate': 0.10715460457131845, 'subsample_for_bin': 20000, 'min_child_samples': 295, 'reg_alpha': 0.4693877551020408, 'reg_lambda': 0.4693877551020408, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.8535353535353536}",368,100,2.4312523120000833
7,0.23810333104538461,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 96, 'learning_rate': 0.03810526748634296, 'subsample_for_bin': 160000, 'min_child_samples': 395, 'reg_alpha': 0.061224489795918366, 'reg_lambda': 0.836734693877551, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.7626262626262627}",457,99,2.267150851999986
8,0.23829179217023677,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 117, 'learning_rate': 0.02331834634070841, 'subsample_for_bin': 160000, 'min_child_samples': 250, 'reg_alpha': 0.7551020408163265, 'reg_lambda': 0.5918367346938775, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.5606060606060606}",402,99,1.404786563000016
9,0.23835160748669426,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 97, 'learning_rate': 0.14292118324159045, 'subsample_for_bin': 160000, 'min_child_samples': 225, 'reg_alpha': 0.22448979591836732, 'reg_lambda': 0.3061224489795918, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.6313131313131313}",114,22,2.6844703630000026
10,0.2383711142485525,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 149, 'learning_rate': 0.18783119153687952, 'subsample_for_bin': 120000, 'min_child_samples': 485, 'reg_alpha': 0.08163265306122448, 'reg_lambda': 0.4693877551020408, 'colsample_bytree': 1.0, 'subsample': 0.5757575757575758}",460,9,1.4289561110001614
11,0.23865675427218613,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 92, 'learning_rate': 0.021899563889224465, 'subsample_for_bin': 260000, 'min_child_samples': 365, 'reg_alpha': 0.061224489795918366, 'reg_lambda': 0.673469387755102, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.8181818181818182}",24,100,1.2969552069999963
12,0.2387364839649413,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 70, 'learning_rate': 0.009541378930619003, 'subsample_for_bin': 240000, 'min_child_samples': 490, 'reg_alpha': 0.32653061224489793, 'reg_lambda': 0.16326530612244897, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.696969696969697}",169,88,1.2294775950000485
